"",".id","Year","Sex","Deaths","Exposures","Age"
"1",1,2012,"Female",626,230574,0
"2",1,2012,"Female",137,967814,1
"3",1,2012,"Female",94,1164267,5
"4",1,2012,"Female",79,1069518,10
"5",1,2012,"Female",146,1067239,15
"6",1,2012,"Female",184,1231396,20
"7",1,2012,"Female",302,1517982,25
"8",1,2012,"Female",504,1887524,30
"9",1,2012,"Female",867,1983868,35
"10",1,2012,"Female",1387,1880784,40
"11",1,2012,"Female",2319,1790246,45
"12",1,2012,"Female",3237,1625272,50
"13",1,2012,"Female",3945,1379991,55
"14",1,2012,"Female",5246,1270098,60
"15",1,2012,"Female",7099,1150246,65
"16",1,2012,"Female",9634,925267,70
"17",1,2012,"Female",20980,1000295,75
"18",1,2012,"Female",36219,799581.97,80
"19",1,2012,"Female",47727,505417.69,85
"20",1,2012,"Female",36998,202507.7,90
"21",1,2012,"Female",15424,51475.47,95
"22",1,2012,"Female",3088,6751.05,100
"23",1,2012,"Female",225,343.05,105
"24",1,2012,"Female",5,6,110
"25",2,2012,"Male",763,245029,0
"26",2,2012,"Male",159,1033177,1
"27",2,2012,"Male",124,1233541,5
"28",2,2012,"Male",125,1133020,10
"29",2,2012,"Male",268,1132171,15
"30",2,2012,"Male",489,1272417,20
"31",2,2012,"Male",636,1547933,25
"32",2,2012,"Male",1095,1981932,30
"33",2,2012,"Male",1678,2107352,35
"34",2,2012,"Male",2784,1965304,40
"35",2,2012,"Male",4676,1820735,45
"36",2,2012,"Male",6852,1613015,50
"37",2,2012,"Male",9096,1340833,55
"38",2,2012,"Male",12406,1197146,60
"39",2,2012,"Male",16131,1042213,65
"40",2,2012,"Male",18869,785328,70
"41",2,2012,"Male",30803,760328,75
"42",2,2012,"Male",38495,517352.58,80
"43",2,2012,"Male",34931,260763.01,85
"44",2,2012,"Male",18120,77921.5,90
"45",2,2012,"Male",5306,14757.47,95
"46",2,2012,"Male",797,1485.18,100
"47",2,2012,"Male",42,54.18,105
"48",2,2012,"Male",5,5,110
"49",3,2012,"Total",1389,475603,0
"50",3,2012,"Total",296,2000991,1
"51",3,2012,"Total",218,2397808,5
"52",3,2012,"Total",204,2202538,10
"53",3,2012,"Total",414,2199410,15
"54",3,2012,"Total",673,2503813,20
"55",3,2012,"Total",938,3065915,25
"56",3,2012,"Total",1599,3869456,30
"57",3,2012,"Total",2545,4091220,35
"58",3,2012,"Total",4171,3846088,40
"59",3,2012,"Total",6995,3610981,45
"60",3,2012,"Total",10089,3238287,50
"61",3,2012,"Total",13041,2720824,55
"62",3,2012,"Total",17652,2467244,60
"63",3,2012,"Total",23230,2192459,65
"64",3,2012,"Total",28503,1710595,70
"65",3,2012,"Total",51783,1760623,75
"66",3,2012,"Total",74714,1316934.55,80
"67",3,2012,"Total",82658,766180.7,85
"68",3,2012,"Total",55118,280429.2,90
"69",3,2012,"Total",20730,66232.94,95
"70",3,2012,"Total",3885,8236.23,100
"71",3,2012,"Total",267,397.23,105
"72",3,2012,"Total",10,11,110
