country,Year,Female,Male,Total
1,1921,63.18,59.1,60.97
1,1922,65.11,60.88,62.83
1,1923,63.66,59.98,61.68
1,1924,64.51,60.77,62.48
1,1925,65.38,61.3,63.17
1,1926,65.07,60.99,62.88
1,1927,64.85,61.1,62.84
1,1928,64.72,61.33,62.91
1,1929,65.39,61.1,63.08
1,1930,66.9,63.15,64.9
1,1931,67.33,63.55,65.32
1,1932,67.6,63.83,65.6
1,1933,67.46,63.65,65.43
1,1934,66.69,63.09,64.79
1,1935,67.17,63.18,65.05
1,1936,67.2,63.38,65.19
1,1937,67.96,63.76,65.74
1,1938,67.93,63.8,65.76
1,1939,68.06,63.64,65.73
1,1940,68.64,63.93,66.16
1,1941,68.23,64.05,66.04
1,1942,67.89,63.89,65.79
1,1943,68.25,64.57,66.33
1,1944,69.79,66.25,67.96
1,1945,70.28,66.62,68.38
1,1946,70.15,65.87,67.92
1,1947,70.96,66.28,68.52
1,1948,71,66.14,68.47
1,1949,71.78,66.64,69.09
1,1950,71.72,66.51,69
1,1951,71.59,66.08,68.7
1,1952,72.04,66.45,69.11
1,1953,72.56,67.06,69.69
1,1954,72.79,67.18,69.86
1,1955,73.25,67.34,70.15
1,1956,73.05,67.29,70.04
1,1957,73.46,67.45,70.32
1,1958,74.02,67.96,70.86
1,1959,73.74,67.44,70.45
1,1960,74.05,67.95,70.87
1,1961,74.52,68.04,71.13
1,1962,74.29,67.82,70.91
1,1963,74.3,67.9,70.96
1,1964,73.97,67.48,70.57
1,1965,74.24,67.66,70.8
1,1966,74.07,67.57,70.68
1,1967,74.56,67.83,71.05
1,1968,74.23,67.46,70.68
1,1969,74.69,67.76,71.07
1,1970,74.18,67.43,70.65
1,1971,74.9,68.25,71.45
1,1972,75.31,68.48,71.77
1,1973,75.71,68.68,72.06
1,1974,75.5,68.47,71.85
1,1975,76.41,69.37,72.78
1,1976,76.41,69.4,72.79
1,1977,77.06,70.07,73.47
1,1978,77.33,70.33,73.74
1,1979,77.99,70.85,74.33
1,1980,78.22,71.09,74.57
1,1981,78.43,71.3,74.78
1,1982,78.29,71.31,74.72
1,1983,78.82,72.15,75.44
1,1984,78.84,72.27,75.51
1,1985,78.67,72.28,75.43
1,1986,79.31,72.9,76.07
1,1987,79.34,72.92,76.09
1,1988,79.6,73.18,76.35
1,1989,79.38,73.11,76.2
1,1990,80.15,73.98,77.04
1,1991,80.49,74.49,77.48
1,1992,80.48,74.5,77.47
1,1993,80.99,75.04,78.01
1,1994,80.82,74.92,77.86
1,1995,81.13,75.39,78.26
1,1996,81.26,75.45,78.35
1,1997,81.38,75.87,78.63
1,1998,81.86,76.18,79.03
1,1999,82.04,76.5,79.28
1,2000,82.27,76.95,79.62
1,2001,82.61,77.38,80.01
1,2002,82.54,77.54,80.06
1,2003,82.91,77.94,80.45
1,2004,83.17,78.27,80.74
1,2005,83.47,78.67,81.1
1,2006,83.58,78.91,81.27
1,2007,83.53,78.91,81.24
1,2008,83.7,79.14,81.43
1,2009,84,79.44,81.73
1,2010,84.2,79.8,82.02
1,2011,84.25,79.91,82.09
1,2012,84.3,80.26,82.29
1,2013,84.61,80.46,82.54
1,2014,84.49,80.52,82.51
1,2015,84.62,80.56,82.6
1,2016,84.85,80.75,82.8
1,2017,84.74,80.68,82.71
1,2018,85.29,81.21,83.25
1,2019,85.27,81.2,83.24
1,2020,85.69,81.63,83.66
1,2021,85.45,81.5,83.47
2,1947,64.01,58.95,61.54
2,1948,65.77,60.53,63.21
2,1949,65.77,61.02,63.47
2,1950,67.28,62.18,64.81
2,1951,67.81,62.48,65.22
2,1952,69.23,64.09,66.74
2,1953,69.71,64.61,67.25
2,1954,69.88,64.49,67.28
2,1955,70.36,64.56,67.55
2,1956,70.54,64.63,67.68
2,1957,70.51,64.21,67.44
2,1958,71.37,65.33,68.45
2,1959,71.39,65.19,68.39
2,1960,71.9,65.39,68.74
2,1961,72.77,66.41,69.71
2,1962,72.48,66.28,69.5
2,1963,72.66,66.4,69.65
2,1964,73.19,66.78,70.12
2,1965,72.99,66.6,69.93
2,1966,73.34,66.84,70.22
2,1967,73.37,66.62,70.12
2,1968,73.52,66.76,70.27
2,1969,73.27,66.56,70.04
2,1970,73.42,66.51,70.09
2,1971,73.67,66.66,70.29
2,1972,74.02,66.95,70.62
2,1973,74.57,67.54,71.2
2,1974,74.62,67.44,71.18
2,1975,74.7,67.66,71.33
2,1976,75.06,68.19,71.79
2,1977,75.44,68.5,72.14
2,1978,75.65,68.44,72.2
2,1979,75.97,68.78,72.55
2,1980,76.04,68.95,72.67
2,1981,76.38,69.26,72.99
2,1982,76.58,69.37,73.15
2,1983,76.59,69.5,73.22
2,1984,77.18,70,73.77
2,1985,77.3,70.32,73.99
2,1986,77.65,70.89,74.46
2,1987,78.03,71.39,74.9
2,1988,78.52,71.85,75.37
2,1989,78.66,71.9,75.46
2,1990,78.87,72.23,75.74
2,1991,78.98,72.26,75.79
2,1992,79.14,72.5,75.99
2,1993,79.34,72.76,76.22
2,1994,79.64,73.12,76.54
2,1995,79.95,73.29,76.78
2,1996,80.08,73.66,77.03
2,1997,80.54,74.02,77.43
2,1998,80.82,74.44,77.78
2,1999,80.83,74.78,77.96
2,2000,81.09,75.1,78.24
2,2001,81.56,75.59,78.72
2,2002,81.66,75.77,78.85
2,2003,81.54,75.91,78.85
2,2004,82.09,76.39,79.36
2,2005,82.21,76.61,79.52
2,2006,82.63,77.07,79.96
2,2007,82.83,77.29,80.16
2,2008,82.95,77.58,80.37
2,2009,82.85,77.4,80.2
2,2010,83.12,77.66,80.47
2,2011,83.43,78.07,80.83
2,2012,83.28,78.26,80.84
2,2013,83.56,78.46,81.08
2,2014,83.73,78.91,81.39
2,2015,83.58,78.63,81.16
2,2016,83.94,79.14,81.6
2,2017,83.9,79.28,81.64
2,2018,84,79.3,81.69
2,2019,84.2,79.54,81.91
3,1841,40.36,40.32,40.34
3,1842,38.54,38.79,38.67
3,1843,40.26,40.5,40.38
3,1844,41.75,42.05,41.91
3,1845,40.79,41.27,41.05
3,1846,38.21,37.48,37.86
3,1847,35.84,34.43,35.13
3,1848,37.91,38.17,38.05
3,1849,34.53,34.49,34.51
3,1850,42.13,42.46,42.3
3,1851,41.76,42.04,41.91
3,1852,41.72,41.89,41.81
3,1853,41.35,41.35,41.35
3,1854,40.09,39.47,39.78
3,1855,37.84,37.09,37.46
3,1856,41.14,40.69,40.92
3,1857,40.65,40.3,40.48
3,1858,40.67,39.7,40.17
3,1859,39.49,38.46,38.97
3,1860,45.72,44.5,45.1
3,1861,41.79,40.74,41.25
3,1862,43.62,42.6,43.1
3,1863,41.88,40.73,41.29
3,1864,40.21,39.41,39.8
3,1865,38.39,37.11,37.73
3,1866,33.3,31.69,32.47
3,1867,44.08,42.06,43.05
3,1868,43.53,41.62,42.55
3,1869,43.3,41.91,42.59
3,1870,41.75,40.14,40.92
3,1871,35.22,33.55,34.36
3,1872,41.02,39.1,40.04
3,1873,44.68,42.38,43.49
3,1874,45.82,43.6,44.68
3,1875,43.4,41.02,42.17
3,1876,44.88,42.54,43.67
3,1877,45.75,43.29,44.48
3,1878,45.62,42.93,44.23
3,1879,45.18,42.57,43.83
3,1880,44.01,41.08,42.49
3,1881,45.92,43.01,44.42
3,1882,47.08,44.12,45.55
3,1883,46.45,43.46,44.9
3,1884,45.72,42.83,44.23
3,1885,46.95,44.08,45.47
3,1886,44.92,41.88,43.35
3,1887,47.76,44.45,46.05
3,1888,46.81,43.15,44.92
3,1889,46.79,43.46,45.07
3,1890,46.12,42.3,44.14
3,1891,45.88,42.33,44.04
3,1892,44.82,41.62,43.16
3,1893,46.05,42.92,44.44
3,1894,48.69,44.73,46.63
3,1895,47.23,43.83,45.48
3,1896,49.77,46.47,48.07
3,1897,50.59,47.19,48.84
3,1898,50.04,46.31,48.12
3,1899,48.23,44.87,46.5
3,1900,48.51,44.98,46.69
3,1901,51.21,47.76,49.44
3,1902,50.82,47.54,49.14
3,1903,51.01,47.56,49.23
3,1904,50.84,47.76,49.27
3,1905,51.68,48.46,50.03
3,1906,51.34,48.07,49.67
3,1907,52.78,49.44,51.07
3,1908,51.38,48.13,49.72
3,1909,52.4,48.99,50.66
3,1910,52.99,49.7,51.31
3,1911,51.12,47.54,49.28
3,1912,54.08,50.5,52.25
3,1913,54.37,50.62,52.45
3,1914,NA,NA,NA
3,1915,NA,NA,NA
3,1916,NA,NA,NA
3,1917,NA,NA,NA
3,1918,NA,NA,NA
3,1919,51.08,47.52,49.26
3,1920,55.94,52.15,54.01
3,1921,56.37,53,54.66
3,1922,56.87,53.55,55.19
3,1923,58.6,54.87,56.7
3,1924,59.22,55.63,57.4
3,1925,58.95,55.35,57.12
3,1926,58.73,55.09,56.88
3,1927,58.92,55.36,57.11
3,1928,59.33,55.66,57.47
3,1929,56.95,53.18,55.02
3,1930,59.23,55.07,57.1
3,1931,60.48,56.44,58.42
3,1932,60.44,56.7,58.54
3,1933,60.64,56.79,58.68
3,1934,62.32,58.38,60.31
3,1935,62.01,57.96,59.94
3,1936,62.18,57.73,59.91
3,1937,62.07,57.92,59.95
3,1938,62.47,57.86,60.11
3,1939,62.37,57.86,60.06
3,1940,60.73,51.78,55.96
3,1941,61.73,55.99,58.74
3,1942,61.96,56.46,59.09
3,1943,62.91,57.82,60.29
3,1944,60.76,53.49,56.94
3,1945,61.27,55.56,58.32
3,1946,64.82,59.13,61.89
3,1947,66.19,60.79,63.42
3,1948,67.6,62.34,64.92
3,1949,68.06,62.92,65.43
3,1950,68.89,63.81,66.3
3,1951,69.28,64.29,66.75
3,1952,70.46,65.54,67.96
3,1953,70.9,65.88,68.35
3,1954,71.13,66.11,68.59
3,1955,71.24,65.93,68.54
3,1956,71.61,66.14,68.84
3,1957,71.91,66.55,69.2
3,1958,72.58,67.29,69.91
3,1959,73.07,67.61,70.31
3,1960,72.64,66.71,69.62
3,1961,73.53,67.55,70.5
