"",".id","Year","Age","Sex","Deaths","Exposures"
"1",1,2012,0,"Female",626,230574
"2",2,2012,0,"Male",763,245029
"3",3,2012,0,"Total",1389,475603
"4",1,2012,1,"Female",137,967814
"5",2,2012,1,"Male",159,1033177
"6",3,2012,1,"Total",296,2000991
"7",1,2012,5,"Female",94,1164267
"8",2,2012,5,"Male",124,1233541
"9",3,2012,5,"Total",218,2397808
"10",1,2012,10,"Female",79,1069518
"11",2,2012,10,"Male",125,1133020
"12",3,2012,10,"Total",204,2202538
"13",1,2012,15,"Female",146,1067239
"14",2,2012,15,"Male",268,1132171
"15",3,2012,15,"Total",414,2199410
"16",1,2012,20,"Female",184,1231396
"17",2,2012,20,"Male",489,1272417
"18",3,2012,20,"Total",673,2503813
"19",1,2012,25,"Female",302,1517982
"20",2,2012,25,"Male",636,1547933
"21",3,2012,25,"Total",938,3065915
"22",1,2012,30,"Female",504,1887524
"23",2,2012,30,"Male",1095,1981932
"24",3,2012,30,"Total",1599,3869456
"25",1,2012,35,"Female",867,1983868
"26",2,2012,35,"Male",1678,2107352
"27",3,2012,35,"Total",2545,4091220
"28",1,2012,40,"Female",1387,1880784
"29",2,2012,40,"Male",2784,1965304
"30",3,2012,40,"Total",4171,3846088
"31",1,2012,45,"Female",2319,1790246
"32",2,2012,45,"Male",4676,1820735
"33",3,2012,45,"Total",6995,3610981
"34",1,2012,50,"Female",3237,1625272
"35",2,2012,50,"Male",6852,1613015
"36",3,2012,50,"Total",10089,3238287
"37",1,2012,55,"Female",3945,1379991
"38",2,2012,55,"Male",9096,1340833
"39",3,2012,55,"Total",13041,2720824
"40",1,2012,60,"Female",5246,1270098
"41",2,2012,60,"Male",12406,1197146
"42",3,2012,60,"Total",17652,2467244
"43",1,2012,65,"Female",7099,1150246
"44",2,2012,65,"Male",16131,1042213
"45",3,2012,65,"Total",23230,2192459
"46",1,2012,70,"Female",9634,925267
"47",2,2012,70,"Male",18869,785328
"48",3,2012,70,"Total",28503,1710595
"49",1,2012,75,"Female",20980,1000295
"50",2,2012,75,"Male",30803,760328
"51",3,2012,75,"Total",51783,1760623
"52",1,2012,80,"Female",36219,799581.97
"53",2,2012,80,"Male",38495,517352.58
"54",3,2012,80,"Total",74714,1316934.55
"55",1,2012,85,"Female",47727,505417.69
"56",2,2012,85,"Male",34931,260763.01
"57",3,2012,85,"Total",82658,766180.7
"58",1,2012,90,"Female",36998,202507.7
"59",2,2012,90,"Male",18120,77921.5
"60",3,2012,90,"Total",55118,280429.2
"61",1,2012,95,"Female",15424,51475.47
"62",2,2012,95,"Male",5306,14757.47
"63",3,2012,95,"Total",20730,66232.94
"64",1,2012,100,"Female",3088,6751.05
"65",2,2012,100,"Male",797,1485.18
"66",3,2012,100,"Total",3885,8236.23
"67",1,2012,105,"Female",225,343.05
"68",2,2012,105,"Male",42,54.18
"69",3,2012,105,"Total",267,397.23
"70",1,2012,110,"Female",5,6
"71",2,2012,110,"Male",5,5
"72",3,2012,110,"Total",10,11
