.id,Year,Sex,q0,e0,q45_60
AUS,1921,b,0.06522,60.97,0.18487825148619708
AUS,1921,f,0.0575,63.18,0.15053165636863874
AUS,1921,m,0.07253,59.1,0.21396686132338782
AUS,1922,b,0.05269,62.83,0.17734687083291023
AUS,1922,f,0.04436,65.11,0.14757581549402154
AUS,1922,m,0.06059,60.88,0.2029394708149378
AUS,1923,b,0.05987,61.68,0.18464640779511388
AUS,1923,f,0.05345,63.66,0.15472570352747939
AUS,1923,m,0.06597,59.98,0.21038097984464887
AUS,1924,b,0.05688,62.48,0.17970755385259474
AUS,1924,f,0.05172,64.51,0.14986453001317124
AUS,1924,m,0.06182,60.77,0.20562008322593184
AUS,1925,b,0.05355,63.17,0.1739004353006275
AUS,1925,f,0.04772,65.38,0.14119814816229137
AUS,1925,m,0.05915,61.3,0.20248843478264222
AUS,1926,b,0.05336,62.88,0.17720425150382801
AUS,1926,f,0.04624,65.07,0.14689416745831319
AUS,1926,m,0.06014,60.99,0.20409978541872054
AUS,1927,b,0.05447,62.84,0.1785389283644837
AUS,1927,f,0.04881,64.85,0.14879760216207272
AUS,1927,m,0.05984,61.1,0.2053110140287958
AUS,1928,b,0.05325,62.91,0.1769048721857691
AUS,1928,f,0.04779,64.72,0.14663954157141934
AUS,1928,m,0.05841,61.33,0.20436435354809357
AUS,1929,b,0.05039,63.08,0.1752143311669494
AUS,1929,f,0.04316,65.39,0.1461807971383967
AUS,1929,m,0.05717,61.1,0.20176847752292504
AUS,1930,b,0.04744,64.9,0.1591990601406571
AUS,1930,f,0.04261,66.9,0.13184189784920242
AUS,1930,m,0.05199,63.15,0.18445599754292508
AUS,1931,b,0.04084,65.32,0.15943078067589656
AUS,1931,f,0.03539,67.33,0.13416502386720397
AUS,1931,m,0.046,63.55,0.18302953728354343
AUS,1932,b,0.03975,65.6,0.16040208831682046
AUS,1932,f,0.03499,67.6,0.13623036902004726
AUS,1932,m,0.04425,63.83,0.1831245792212992
AUS,1933,b,0.03961,65.43,0.16431870418226047
AUS,1933,f,0.03516,67.46,0.13490840861275322
AUS,1933,m,0.04382,63.65,0.19190470098461754
AUS,1934,b,0.04332,64.79,0.1659522910258281
AUS,1934,f,0.03863,66.69,0.13959665280776068
AUS,1934,m,0.04778,63.09,0.19074649727889303
AUS,1935,b,0.04003,65.05,0.16773811766042035
AUS,1935,f,0.03498,67.17,0.13613631225170708
AUS,1935,m,0.04487,63.18,0.1973385285859236
AUS,1936,b,0.04187,65.19,0.1651578667086605
AUS,1936,f,0.03782,67.2,0.13472425834593116
AUS,1936,m,0.04576,63.38,0.1937347804067555
AUS,1937,b,0.03849,65.74,0.1628745079239573
AUS,1937,f,0.03427,67.96,0.13170607360405295
AUS,1937,m,0.04251,63.76,0.19221329807771104
AUS,1938,b,0.03823,65.76,0.16173848338305508
AUS,1938,f,0.03276,67.93,0.1334876850227713
AUS,1938,m,0.04341,63.8,0.18845538365637016
AUS,1939,b,0.0384,65.73,0.1622791752445567
AUS,1939,f,0.0333,68.06,0.13029033248120603
AUS,1939,m,0.04325,63.64,0.19254236375253564
AUS,1940,b,0.03891,66.16,0.1621854739484202
AUS,1940,f,0.0343,68.64,0.1289713706282415
AUS,1940,m,0.04332,63.93,0.1937444995187253
AUS,1941,b,0.04081,66.04,0.15966147049720802
AUS,1941,f,0.03633,68.23,0.12970765963679287
AUS,1941,m,0.04507,64.05,0.1883508068776686
AUS,1942,b,0.03946,65.79,0.16547451770133836
AUS,1942,f,0.03457,67.89,0.13414467593387547
AUS,1942,m,0.0441,63.89,0.19561391583714838
AUS,1943,b,0.038,66.33,0.15941258060014918
AUS,1943,f,0.03374,68.25,0.13142489819799108
AUS,1943,m,0.04206,64.57,0.1865698866852612
AUS,1944,b,0.0317,67.96,0.14861600259010455
AUS,1944,f,0.02805,69.79,0.12252903435159823
AUS,1944,m,0.03519,66.25,0.17413060136071679
AUS,1945,b,0.02997,68.38,0.14807299610250446
AUS,1945,f,0.02646,70.28,0.12198331620244507
AUS,1945,m,0.03332,66.62,0.17364565960874812
AUS,1946,b,0.03079,67.92,0.15428908301660504
AUS,1946,f,0.02718,70.15,0.12495838108022406
AUS,1946,m,0.0342,65.87,0.18299859911030047
AUS,1947,b,0.02894,68.52,0.15044188577429563
AUS,1947,f,0.0255,70.96,0.11794005247540917
