"",".id","Year","Age","Sex","Deaths","Exposures"
"1",1,2012,0,"Female",626,230574
"2",2,2012,0,"Male",763,245029
"3",3,2012,0,"Total",1389,475603
"4",1,2012,1,"Female",54,234151
"5",2,2012,1,"Male",62,249398
"6",3,2012,1,"Total",116,483549
"7",1,2012,2,"Female",42,238626
"8",2,2012,2,"Male",37,255532
"9",3,2012,2,"Total",79,494158
"10",1,2012,3,"Female",22,252034
"11",2,2012,3,"Male",30,269087
"12",3,2012,3,"Total",52,521121
"13",1,2012,4,"Female",19,243003
"14",2,2012,4,"Male",30,259160
"15",3,2012,4,"Total",49,502163
"16",1,2012,5,"Female",22,241383
"17",2,2012,5,"Male",30,256800
"18",3,2012,5,"Total",52,498183
"19",1,2012,6,"Female",13,237047
"20",2,2012,6,"Male",19,250725
"21",3,2012,6,"Total",32,487772
"22",1,2012,7,"Female",20,233681
"23",2,2012,7,"Male",25,248744
"24",3,2012,7,"Total",45,482425
"25",1,2012,8,"Female",16,230865
"26",2,2012,8,"Male",22,243087
"27",3,2012,8,"Total",38,473952
"28",1,2012,9,"Female",23,221291
"29",2,2012,9,"Male",28,234185
"30",3,2012,9,"Total",51,455476
"31",1,2012,10,"Female",9,220249
"32",2,2012,10,"Male",18,231822
"33",3,2012,10,"Total",27,452071
"34",1,2012,11,"Female",18,218466
"35",2,2012,11,"Male",23,233150
"36",3,2012,11,"Total",41,451616
"37",1,2012,12,"Female",16,214567
"38",2,2012,12,"Male",24,226296
"39",3,2012,12,"Total",40,440863
"40",1,2012,13,"Female",21,206996
"41",2,2012,13,"Male",32,221025
"42",3,2012,13,"Total",53,428021
"43",1,2012,14,"Female",15,209240
"44",2,2012,14,"Male",28,220727
"45",3,2012,14,"Total",43,429967
"46",1,2012,15,"Female",20,207356
"47",2,2012,15,"Male",42,218121
"48",3,2012,15,"Total",62,425477
"49",1,2012,16,"Female",24,205767
"50",2,2012,16,"Male",47,218680
"51",3,2012,16,"Total",71,424447
"52",1,2012,17,"Female",26,208318
"53",2,2012,17,"Male",55,222306
"54",3,2012,17,"Total",81,430624
"55",1,2012,18,"Female",30,218001
"56",2,2012,18,"Male",52,232267
"57",3,2012,18,"Total",82,450268
"58",1,2012,19,"Female",46,227797
"59",2,2012,19,"Male",72,240797
"60",3,2012,19,"Total",118,468594
"61",1,2012,20,"Female",33,229183
"62",2,2012,20,"Male",95,242042
"63",3,2012,20,"Total",128,471225
"64",1,2012,21,"Female",35,236040
"65",2,2012,21,"Male",89,245980
"66",3,2012,21,"Total",124,482020
"67",1,2012,22,"Female",41,245719
